id,detail_url,title,location,phrase,tags,created_at
21,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b2c82f9d-3b24-4695-afb4-06d56b7eaef2&big_category=A02&mid_category=A0201&big_area=2,틈문화창작지대,"인천 미추홀구","문화 콘텐츠 창작자 양성과 인천 지역의 문화산업을 육성하는 곳","#문화시설, #미추홀구틈문화창작지대, #영상제작, #인천각종행사, #인천콘텐츠코리아랩, ","2025-03-17 12:52:02"
22,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fb3aa752-897f-43be-918d-848ad2a14942&big_category=A02&mid_category=A0201&big_area=1,한양도성박물관,"서울 종로구","한양도성의 역사와 가치를 담은 곳","#기념관, #문화시설, #박물관, #수도권, #아이와함께, #여름방학가볼만한곳, , , , , , , , ","2025-03-17 12:52:02"
23,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ad07ca95-1788-4750-b8fb-e5b149ea88f5&big_category=A02&mid_category=A0201&big_area=32,복주머니마을,"강원 홍천군","오감만족 즐기는 여행",#관광지,"2025-03-17 12:52:03"
24,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0815676f-4585-4171-ada4-cfd9c2037fa4&big_category=A02&mid_category=A0201&big_area=2,인천향교,"인천 미추홀구","우리 조상과 선비의 숨결이 서려있는 곳","#관광지, #명륜당, #명륜학당프로그램, #문화재, #수도권, #역사, #인천유교교육, , ","2025-03-17 12:52:03"
25,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fb049a0e-2e3f-4047-a5ff-ef11e9bcd53b&big_category=A02&mid_category=A0201&big_area=35,오산서원,"경북 영주시","조선시대 문신 김난상 추모를 위한 곳","#관광지, #역사, #역사공부, #역사관광지, #역사를품은곳, #역사문화재, #역사속, , , , , , , ","2025-03-17 12:52:03"
26,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=11ae2888-ffda-43be-b250-c6d627af5e49&big_category=A02&mid_category=A0201&big_area=2,인천동구청소년수련관,"인천 동구","청소년들이 행복한 세상을 꿈꾸는 공간","#교육여행, #교육프로그램, #레포츠, #문화공간, #문화시설, #복합문화공간, , , , , , , ","2025-03-17 12:52:03"
27,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=43959606-d0bb-46df-9357-c40be903f24e&big_category=A02&mid_category=A0201&big_area=35,"한재 참 미나리 식육식당","경북 청도군","쫀득한 삼겹살과 향긋한 미나리","#맛집, #미나리_삼겹살, #미나리비빔밥, #생삼겹살, #유황오리백숙, #음식, #한재미나리","2025-03-17 12:52:03"
28,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=13853f63-b8a8-4683-9231-2e8d8419c944&big_category=A02&mid_category=A0201&big_area=1,"갤러리 라메르","서울 종로구","다양한 장르의 미술을 포용하는 갤러리","#나홀로여행, #데이트코스, #도심여행, #문화시설, #미술관, #실내여행지, #연인과함께, , , ","2025-03-17 12:52:03"
29,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=79932f05-b8cb-463a-bff1-00ea42802fb7&big_category=A02&mid_category=A0201&big_area=2,"인천 현대시장","인천 동구","동구의 대표적인 재래시장","#가족여행, #나들이, #나홀로여행, #드라이브여행, #먹거리, #서울근교여행, , , , , , , , , , , , ","2025-03-17 12:52:03"
30,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e8cb4eb9-9f97-47ae-a00c-ed6cf39a5dc9&big_category=A02&mid_category=A0201&big_area=2,"인천 중앙시장","인천 동구","구경거리 가득한 재래시장","#가족여행, #나들이, #나홀로여행, #먹거리, #쇼핑, #수도권, #시장맛집, #아이와함께, , , , , ","2025-03-17 12:52:03"
